Personal Details,,,,,,,,,,,,,Build,,,,,,,,,,,,,,,,
#,Name,Gender,Race,Size,Alignment,,Age,Background,Relationships,Wellbeing,Gold,Status,Attributes,Level,First Class,l1,Multiclass 1,l2,Multiclass 2,l3,Multiclass 3,l4,ASI 1,ASI 2,ASI 3,ASI 4,ASI 5,ASI 6,ASI 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Apholia Brainir,Female,Aasimar,Medium,Lawful,Evil,31,Haunted One,Single,Alive,"1.193,20",Retired,Point Buy,17,Hexblade Warlock,15,War Wizard,2,,,,,Ability Score Improvement,Mage Slayer,Shadow Touched,,,,
2,Nuria Ember,Female,Shifter,Medium,Neutral,Good,40,Haunted One,Married,Alive,"3.710,10",Retired,Point Buy,14,Beast Barbarian,14,,,,,,,Ability Score Improvement,Ability Score Improvement,Ability Score Improvement,,,,
3,Gorin of the Ironhill,Male,Dwarf,Medium,Lawful,Good,155,Clan Crafter,Single,Alive,"500,00",Retired,Point Buy,5,Rune Knight Fighter,4,Forge Cleric,1,,,,,Ability Score Improvement,,,,,,
4,Shyorin Baenre,Female,Elf,Medium,Neutral,Good,22,Acolyte,In Relationship,Alive,"10.000,00",Active,Point Buy,12,Twilight Cleric,12,,,,,,,Ability Score Improvement,War Caster,Ability Score Improvement,,,,
5,Adam Scott,Male,Human,Medium,Neutral,Neutral,17,Spy,Single,Alive,"500,00",Retired,Point Buy,5,Soulknife Rogue,5,,,,,,,Ability Score Improvement,,,,,,
6,Katalina Conarin,Female,Half-Elf,Medium,Neutral,Good,24,Gruul Anarch,Single,Alive,"15,00",Retired,Rolled,5,Oathbreaker Paladin,5,,,,,,,Skill Expert,,,,,,
7,Shylef,Female,Dragonborn,Medium,Neutral,Good,16,Uthgardt Tribe Member,Single,Dead,"10,00",Retired,Rolled,3,Wildfire Druid,3,,,,,,,,,,,,,
8,Nyrillis,Female,Triton,Medium,Chaotic,Neutral,180,Faceless,Single,Alive,"10,00",Retired,Rolled,3,Glamour Bard,3,,,,,,,,,,,,,
9,Zindan,Male,Elf,Medium,Neutral,Good,50,Far Traveler,Single,Alive,"200,00",Active,Rolled,13,Battle Master Fighter,12,Rogue,1,,,,,Ability Score Improvement,Piercer,Sharpshooter,Elven Accuracy,,,
