Personal Details,,,,,,,,,,,,,Build,,,,,,,,,,,,,,,,
#,Name,Gender,Race,Size,Alignment,,Age,Background,Relationships,Wellbeing,Gold,Status,Attributes,Level,First Class,l1,Multiclass 1,l2,Multiclass 2,l3,Multiclass 3,l4,ASI 1,ASI 2,ASI 3,ASI 4,ASI 5,ASI 6,ASI 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yaevin,Male,Elf,Medium,Chaotic,Neutral,22,Criminal,Single,Alive,"150,00",Retired,Rolled,4,Assassin Rogue,3,Paladin,1,,,,,,,,,,,
2,Dexter,Male,Human,Medium,Chaotic,Good,25,Witchlight Hand,Single,Alive,"150.000,00 g",Active,Point Buy,18,Mercy Monk,,,,,,,,Ability Score Improvement,Ability Score Improvement,Ability Score Improvement,Ability Score Improvement,,,
3,Tchouf Mpaemn,Male,Gnome,Small,Neutral,Neutral,423,Haunted One,Widowed,Alive,"500,00 g",Active,Rolled,8,Armorer Artificer,,,,,,,,Ability Score Improvement,Mounted Combatant,,,,,
4,Achak Amai,Male,Human,Medium,Lawful,Good,35,Hermit,Single,Alive,"300,00 g",Active,Point Buy,5,Phantom Rogue,,,,,,,,Ability Score Improvement,,,,,,
5,Francine DeRaine,Female,Human,Medium,Chaotic,Good,26,Sailor,Single,Alive,"200,00 g",Active,Rolled,11,Open Sea Paladin,,,,,,,,Ability Score Improvement,Ability Score Improvement,,,,,
6,Rua'Lyth,Female,Elf,Medium,Neutral,Good,20,Hermit,Single,Alive,"7.660,00 g",Active,Rolled,6,Stars Druid,,,,,,,,Ability Score Improvement,,,,,,
7,Caldur Ironjaw,Male,Dwarf,Medium,Lawful,Neutral,136,Clan Crafter,Single,Alive,"240,00 g",Active,Point Buy,9,Giant Barbarian,,,,,,,,Ability Score Improvement,Ability Score Improvement,,,,,
8,The Lad,Male,Human,Medium,Lawful,Neutral,48,Soldier,Single,Alive,"0,00 g",Retired,Rolled,7,Tempest Cleric,,,,,,,,Ability Score Improvement,,,,,,
9,Yaevin Vol 2,Male,Half-Elf,Medium,Chaotic,Neutral,22,Urchin,Single,Alive,"10,00 g",Concept,Point Buy,9,Soulknife Rogue,,,,,,,,Telepathic,Skill Expert,,,,,
10,Nathaniel Whitelance,Male,Dragonborn,Medium,Lawful,Good,53,City Watch,Single,Alive,"10,00 g",Concept,Point Buy,9,Redemption Paladin,,,,,,,,Gift of the Metallic Dragon,Heavy Armor Master,,,,,
11,Adhmor Rabbitfoot,Male,Halfling,Small,Chaotic,Neutral,29,Gambler,Single,Alive,"10,00 g",Concept,Point Buy,9,Eloquence Bard,,,,,,,,Cartomancer,Second Chance,,,,,
12,G92L5S,Other,Custom Lineage,Medium,Lawful,Neutral,562,Gate Warden,Single,Alive,"680,00 g",Active,Point Buy,5,Clockwork Soul Sorcerer,,,,,,,,Agent of Order,,,,,,
13,Nephilee Drayna Faust,Female,Changeling,Medium,Neutral,Good,33,Investigator,Single,Alive,"10,00 g",Concept,Point Buy,9,Fiend Warlock,,,,,,,,Ability Score Improvement,Ability Score Improvement,,,,,
14,Kieran Cinderhide,Male,Tiefling,Medium,Neutral,Neutral,19,Gladiator,Single,Alive,"10,00 g",Active,Rolled,4,Eldritch Knight Fighter,,,,,,,,Flames of Phlegethos,,,,,,
15,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
